,E 14 ST/3 AV,E HOUSTON ST/MANGIN ST,E 14 ST/IRVING PL,AV C/E 12 ST,W 14 ST/8 AV,AV D/E 6 ST,W 14 ST/HUDSON ST,DELANCY ST/COLUMBIA ST,E 14 ST/AV C,11 AV / W 17 ST,W 18 ST / 10 AV,E 14 ST/AV B,E HOUSTON ST/COLUMBIA ST,W 14 ST/9 AV,W 14 ST/10 AV,COLUMBIA ST/RIVINGTON ST,11 AV/W 15 ST,AV D/E HOUSTON ST,AV D/E 5 ST,AV C/E 11 ST,E 14 ST/1 AV,F. D. R. DRIVE/555 FDR DR,E 14 ST/UNION SQ W,W 14 ST/7 AV,E 14 ST/AV A,AV D/E 4 ST,DELANCEY ST/COLUMBIA ST,E 14 ST/4 AV,E 10 ST/AV D,E 14 ST/UNIVERSITY PL,W 14 ST/6 AV,E 14 ST/2 AV,W 14 ST/5 AV,9 AV/W 18 ST,DELANCEY ST/FDR DR,Michael J. Quill Depot (MQ),New Depot
E 14 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,0.259 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,
E HOUSTON ST/MANGIN ST,,,,,,,,,,,,,,,,,,,,,,0.269 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,
E 14 ST/IRVING PL,0.195 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV C/E 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,
W 14 ST/8 AV,,,,,,,,,,,,,,0.273 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,0.273 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,
AV D/E 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,
W 14 ST/HUDSON ST,,,,,0.213 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELANCY ST/COLUMBIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,
E 14 ST/AV C,,,,0.17 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,0.225 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV / W 17 ST,,,,,,,,,,,0.248 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,3.872 to depot of M14D-SBS,
W 18 ST / 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 SELECT BUS LES DELANCEY-FDR via 14 ST,,,
E 14 ST/AV B,,,,,,,,,0.225 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,0.226 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,
E HOUSTON ST/COLUMBIA ST,,0.301 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/9 AV,,,,,,,,,,,,,,,0.573 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/10 AV,,,,,,,,,,,,,,,,,0.188 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,
COLUMBIA ST/RIVINGTON ST,,,,,,,,,,,,,,,,,,0.295 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,
11 AV/W 15 ST,,,,,,,,,,0.359 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E HOUSTON ST,,,,,,,,,,,,,,,,,,,0.268 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,
AV D/E 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,
AV C/E 11 ST,,,,,,,,,0.25 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 14 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.212 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,0.229 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,
F. D. R. DRIVE/555 FDR DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 SELECT BUS LES DELANCEY-FDR via 14 ST,,
E 14 ST/UNION SQ W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,
W 14 ST/7 AV,,,,,0.273 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,
E 14 ST/AV A,,,,,,,,,,,,0.226 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,0.212 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,
AV D/E 4 ST,,,,,,,,,,,,,0.145 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,
DELANCEY ST/COLUMBIA ST,,,,,,,,,,,,,,,,0.49 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,
E 14 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,0.219 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,
E 10 ST/AV D,,,,,,0.303 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,0.305 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,
E 14 ST/UNIVERSITY PL,,,0.322 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/6 AV,,,,,,,,,,,,,,,,,,,,,,,,0.218 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,0.514 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,
E 14 ST/2 AV,0.259 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,0.229 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,
W 14 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,.5 to depot of M14D-SBS
9 AV/W 18 ST,,,,,,,1.354 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELANCEY ST/FDR DR,,,,,,,,0.697 SELECT BUS LES DELANCEY-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,2.044 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Depot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.5 SELECT BUS CHLSEA PIERS  11 AV via 14 ST,,,,